ชื่ออาหาร,ingredient_full_json,total_protein,total_fat,total_carbs,total_calories,วัตถุดิบ
แกงเลียงกุ้งสด,"""กุ้งสดปอกเปลือกผ่าหลัง: 250กรัม
ข้าวโพดอ่อนหั่น: 80กรัม
ฟักทองหั่นชิ้นพอดีคำ: 240กรัม
บวบหั่นเป็นชิ้นๆ: 230กรัม
เห็ดรวม (ตามชอบ): 250กรัม
ใบแมงลัก: 1ถ้วย
น้ำซุป: 4ถ้วย
น้ำปลา: 2ช้อนโต๊ะ
ซีอิ๊วขาว: 1ช้อนโต๊ะ
น้ำตาล: 1ช้อนชา
---พริกแกงเลียง--: 
หอมแดง: 6หัว
กุ้งแห้งป่น: 3ช้อนโต๊ะ
กุ้งสดลวก: 3ตัว
กระชาย: 3แง่ง
พริกไทยเม็ด: 1ช้อนโต๊ะ
กะปิ: 1 1/2ช้อนโต๊ะ
พริกขี้หนูสวน: 8เม็ด
รากผักชี: 1ราก""",197.1,100.8,506.2,3720.4,"กุ้งสดปอกเปลือกผ่าหลัง, 250กรัม
ข้าวโพดอ่อนหั่น, 80กรัม
ฟักทองหั่นชิ้นพอดีคำ, 240กรัม
บวบหั่นเป็นชิ้นๆ, 230กรัม
เห็ดรวม (ตามชอบ), 250กรัม
ใบแมงลัก, 1ถ้วย
น้ำซุป, 4ถ้วย
น้ำปลา, 2ช้อนโต๊ะ
ซีอิ๊วขาว, 1ช้อนโต๊ะ
น้ำตาล, 1ช้อนชา
---พริกแกงเลียง--
หอมแดง, 6หัว
กุ้งแห้งป่น, 3ช้อนโต๊ะ
กุ้งสดลวก, 3ตัว
กระชาย, 3แง่ง
พริกไทยเม็ด, 1ช้อนโต๊ะ
กะปิ, 1 1/2ช้อนโต๊ะ
พริกขี้หนูสวน, 8เม็ด
รากผักชี, 1ราก"
ปลานึ่งมะนาว,"""ปลา ตามชอบ ปลากะพง ปลาทับทิม ปลานิล ฯลฯ: 1ตัว
น้ำปลา: 2 ช้อนโต๊ะ
มะนาว (ชิมตามความเปรี้ยว): 3-4 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
พริกขี้หนูสับ: 2 ช้อนโต๊ะ
กระเทียมสับ: 2 ช้อนโต๊ะ
ผักชี: 1ต้น
ตะไคร้: ครึ่งต้น""",40.7,2.8,238.7,1142.8,"ปลา ตามชอบ ปลากะพง ปลาทับทิม ปลานิล ฯลฯ:, 1ตัว
น้ำปลา:, 2 ช้อนโต๊ะ
มะนาว (ชิมตามความเปรี้ยว):, 3-4 ช้อนโต๊ะ
น้ำตาล:, 1 ช้อนชา
พริกขี้หนูสับ:, 2 ช้อนโต๊ะ
กระเทียมสับ:, 2 ช้อนโต๊ะ
ผักชี:, 1ต้น
ตะไคร้: ครึ่งต้น"
มาม่าผัดขี้เมาทะเล,"""กุ้ง เนื้อปลา ปลาหมึก: ไม่ต้องเยอะมากอะ กะเอาเอง
มาม่าบิ๊กแพ๊ครสต้มยำ: 1 ซอง
ใบโหระพา: 
เม็ดพริกไทย: 
ไข่ไก่: 
พริกขี้หนูสด: 
กระเทียม: 
ซีอิ๊วดำ:""",108.8,46.1,188.7,1604.9,"กุ้ง เนื้อปลา ปลาหมึก: ไม่ต้องเยอะมากอะ กะเอาเอง
มาม่าบิ๊กแพ๊ครสต้มยำ:, 1 ซอง
ใบโหระพา:
เม็ดพริกไทย:
ไข่ไก่:
พริกขี้หนูสด:
กระเทียม:
ซีอิ๊วดำ:"
แกงเขียวหวานหมู (มือใหม่หัดแกง),"""เนื้อหมู: 1 Kg
พริกแกงเขียวหวาน: 2 ขีด
หัวกะทิ: 500 ml
ใบโหระพา: 
มะเขือเปราะ: 
มะเขือพวง: 
พริกชี้ฟ้า: 
ใบมะกรูด: 
น้ำตาลมะพร้าว: 
น้ำปลา: 
น้ำมันพืช:""",63.6,145.7,210.1,2406.1,"เนื้อหมู:, 1 Kg
พริกแกงเขียวหวาน:, 2 ขีด
หัวกะทิ:, 500 ml
ใบโหระพา:
มะเขือเปราะ:
มะเขือพวง:
พริกชี้ฟ้า:
ใบมะกรูด:
น้ำตาลมะพร้าว:
น้ำปลา:
น้ำมันพืช:"
แกงป่า,"""เนื้อไก่: 200 g
พริกไทย: ตามชอบ
พริกแดง: ตามชอบ
ผงปรุงรส: 1 Tbs
พริกแกง: 20 g
ใบกะเพรา: 1กำมือ
มะเขือเปาะ: 7ผล
มะเขือพวง: 2พวง
กระชาย: ตามชอบ
ถั่งฝักยาว: 2ฝัก
น้ำตาล: เล็กน้อย""",75.5,20.1,380.4,2004.5,"เนื้อไก่:, 200 g
พริกไทย: ตามชอบ
พริกแดง: ตามชอบ
ผงปรุงรส:, 1 Tbs
พริกแกง:, 20 g
ใบกะเพรา:, 1กำมือ
มะเขือเปาะ:, 7ผล
มะเขือพวง:, 2พวง
กระชาย: ตามชอบ
ถั่งฝักยาว:, 2ฝัก
น้ำตาล: เล็กน้อย"
แกงส้มปลากระพงผักรวม (แกงส้มปักษ์ใต้),"""ปลากระพง(ประมาณ1กิโล): 1ตัว
พริกแกงเหลือง: 3-4ช้อนโต๊ะ
ผักตามชอบ(มะละกอ แครอท ถั่วฟักยาว: ตามชอบ
ส้มแขก: 4-5ชิ้น
น้ำปลา: 3-4ช้อนโต๊ะ
น้ำตาล: 2-3ช้อนโต๊ะ""",50.2,7.2,190.1,1026,"ปลากระพง(ประมาณ, 1กิโล): 1ตัว
พริกแกงเหลือง:, 3-4ช้อนโต๊ะ
ผักตามชอบ(มะละกอ แครอท ถั่วฟักยาว: ตามชอบ
ส้มแขก:, 4-5ชิ้น
น้ำปลา:, 3-4ช้อนโต๊ะ
น้ำตาล:, 2-3ช้อนโต๊ะ"
ต้มยำกุ้งน้ำใส,"""กุ้งไซส์กลาง-ใหญ่ 6 ตัว: 
เห็ดฟาง 200 กรัม: 
ข่าหั่นเป็นชิ้นบางๆ 15 ชิ้น: 
ตะไคร้ 3 ต้น: 
ใบมะกรูด 5 ใบ: 
หอมแดง 5 หัว: 
พริกขี้หนูสวน 10 เม็ด: 
คนอร์ขวดซอสข้นปรุงรส 2 ช้อนโต๊ะ: 
มะนาว 6 ช้อนโต๊ะ: 
น้ำปลา 2 ช้อนโต๊ะ:""",52.2,50.3,190.3,1422.7,"กุ้งไซส์กลาง-ใหญ่, 6 ตัว:
เห็ดฟาง, 200 กรัม:
ข่าหั่นเป็นชิ้นบางๆ, 15 ชิ้น:
ตะไคร้, 3 ต้น:
ใบมะกรูด, 5 ใบ:
หอมแดง, 5 หัว:
พริกขี้หนูสวน, 10 เม็ด:
คนอร์ขวดซอสข้นปรุงรส, 2 ช้อนโต๊ะ:
มะนาว, 6 ช้อนโต๊ะ:
น้ำปลา, 2 ช้อนโต๊ะ:"
แกงส้มใต้,"""มะละกอ: 1 ลูก
ปลาทับทิม: 1 ตัว
น้ำพริกแกงส้มใต้: 1 ซอง
น้ำมะขามเปียก: 5 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำตาลปีบ: 1 ช้อนโต๊ะ""",17.5,3.1,273,1189.9,"มะละกอ:, 1 ลูก
ปลาทับทิม:, 1 ตัว
น้ำพริกแกงส้มใต้:, 1 ซอง
น้ำมะขามเปียก:, 5 ช้อนโต๊ะ
น้ำปลา:, 3 ช้อนโต๊ะ
เกลือ:, 1 ช้อนชา
น้ำตาลปีบ:, 1 ช้อนโต๊ะ"
ปลาเผาผักสด/เมี่ยงปลาเผา/ปลานิลเผาเกลือ แบบใช้เตาอบ,"""ปลา: 1 ตัว
เกลือป่น: 250 กรัม
แป้งสาลีเอนกประสงค์หรือแป้งมัน: 1 ช้อนโต๊ะ
ตะไคร้: 2ต้น
ใบเตย: 2 ใบ
ผักแกล้มผักต่างๆตามชอบ: 
ซีฟู้ดกุ้ง,ปลาหมึก ตามชอบ: 
เส้นหมี่ ตามชอบ:""",33,22.5,182.5,1064.5,"ปลา:, 1 ตัว
เกลือป่น:, 250 กรัม
แป้งสาลีเอนกประสงค์หรือแป้งมัน:, 1 ช้อนโต๊ะ
ตะไคร้:, 2ต้น
ใบเตย:, 2 ใบ
ผักแกล้มผักต่างๆตามชอบ:
ซีฟู้ดกุ้ง,ปลาหมึก ตามชอบ:
เส้นหมี่ ตามชอบ:"
น้ำพริกกะปิสูตรคุณยาย,"""กะปิ: 1 ทัพพี
น้ำตาลปี๊บ: 1 ทัพพี
พริกสด: 1 กำมือ
กระเทียม: 1 กำมือ
มะเขือพวง: 1/2 ถ้วย
น้ำมะนาวคั้นสด: 1 ทัพพี
น้ำเปล่า: 1 ทัพพี""",34.6,3.5,175.8,873.1,"กะปิ:, 1 ทัพพี
น้ำตาลปี๊บ:, 1 ทัพพี
พริกสด:, 1 กำมือ
กระเทียม:, 1 กำมือ
มะเขือพวง:, 1/2 ถ้วย
น้ำมะนาวคั้นสด:, 1 ทัพพี
น้ำเปล่า:, 1 ทัพพี"
