Thai_Name,SUGAR(g),Protein(g),Fat(g),Energy(kcal) by calculation,Carbs(g),Fiber(g)
กึ๋นไก่,9.3,21.1,1.3,97,27.5,0
ก้นไก่,9.3,17,26.1,134,27.5,0
กบ,9.3,16,9.9,153,27.5,0
กระเจี๊ยบมอญ,9.3,1.5,0.2,134,27.5,1.7
กระเจียว,9.3,1.3,0.6,134,13.8,0.7
"กระชาย, ดิบ",9.3,0.3,0.4,21,27.5,0.6
กระดูกหมูอ่อน,0,16.5,10,156,0,0
กระเทียม,9.3,6.3,0.2,125,27.5,4.7
กระเทียม,1,6.4,0.5,149,33,2.1
"กระเทียม, สด",9.3,2.1,0.1,134,10.4,0.7
กระเพรา,9.3,3.3,0.4,41,27.5,4.1
กระวาน,9.3,9.5,6.3,134,69.3,0.7
กล้วย,12.2,1.1,0.3,89,22.8,2.6
กลอย,0.7,2.5,0.1,143,33.1,0.7
กลิ่นวนิลา,0,0,0,0,0,0
ก๋วยเตี๋ยวเส้นเล็ก,0,5.7,0.5,359,27.5,0.9
ก๋วยเตี๋ยวเส้นเล็กสด,9.3,4.1,1,234,27.5,0.5
ก๋วยเตี๋ยวเส้นใหญ่,9.3,2.9,1.7,155,27.5,0.7
กะทิ,9.3,1.6,14.8,134,2.1,0.7
"กะทิ, กระป๋อง",1.7,1.9,16.6,170,27.5,0.1
กะปิ,0,24.3,2.5,128,27.5,0
กะปิกุ้ง,9.3,21,1,120,27.5,0
กะปิเคย,9.3,22.1,0.8,109,27.5,0
กะหล่ำ,3.2,1.3,0.1,25,5.8,2.5
กะหล่ำปลี,9.3,1.4,0.2,134,27.5,1.6
กะหล่ำปลีม่วง,9.3,5.7,2.5,134,27.5,2.4
กั้ง,9.3,17.2,0.1,77,27.5,0
"กั้งตั๊กแตน, สด",9.3,13.7,1.1,65,27.5,0.3
"กาแฟปรุงสำเร็จรูป, ผง",40.8,9.1,6.5,389,27.5,4.5
กาแฟผงสำเร็จรูป,0,0,0,0,0,0
กุ้ง,0.2,20.3,1.7,96.5,0,0
กุ้งก้ามกราม,9.3,17.9,3.7,88,27.5,0
กุ้งกุลาดำ,9.3,17.8,0.7,78,27.5,0
"กุ้งกุลาดำ, เนื้อส่วนหัว",9.3,14.3,4.4,134,0,0.7
กุ้งกุลาลาย,9.3,5.7,2.5,134,3.8,0.7
กุ้งเคย ,9.3,12,1,61,27.5,0
กุ้งจ่อม,9.3,10.6,0.8,84,27.5,0
กุ้งแห้ง,0,75,5,330,2,0
กุนเชียง,9.3,14,33.8,134,27.5,0
กุนเชียง,5.2,12,38,420,8,0
กุนเชียงปลา,9.3,18.4,12.8,134,2.1,0.7
กุนเชียงหมู,9.3,15.1,34,134,27.5,0
กุ้ระเทียม,1,6.4,0.5,162.5,33.1,2.1
เกล็ดขนมปัง,3.2,6.2,33,342,5.5,0
เกลือ,0,0,0,0,0,0
เกาลัด,9.3,4,0.5,134,27.5,6.7
แก่นตะวันปอกเปลือก,0.9,1.6,0,134,27.5,19.2
โกโก้,1.8,19.6,13.7,370,57.9,33.2
ไก่ข้อเข่า,9.3,20.6,12.6,196,27.5,0
ไก่เชียง,9.3,14.6,39.3,134,27.5,0
ไก่ตุ๋น,9.3,18.9,10.3,180,27.5,0.5
ไก่ทั้งตัว,9.3,22.9,16.6,134,27.5,0
ไก่ยอ,9.3,11.2,25.7,134,27.5,0
ขนมจีน,9.3,1.4,0.3,103,27.5,0.3
ขนมปัง,5,9,3.2,265,49,2.4
ขนมมาร์เมลโล,34.3,6.3,13.5,134,72.9,0.7
ขนุน,9.3,5.5,0.2,153,32.2,0.7
ขนุนละมุด,9.3,1.3,0.4,134,27.1,0.7
ขมิ้นขาว,9.3,0.4,0.2,134,5.1,0.7
ข่า,9.3,1.6,0,134,11.8,0.7
ข่า,9.3,0.7,0.2,134,7.8,0.7
ขาเป็ด,9.3,12.4,11.7,181,27.5,0
ข้าวกล้อง,0.2,7.3,3,363,27.5,3.5
"ข้าวเกรียบกุ้ง, ทอด",2.4,6.8,21.3,134,27.5,1.6
ข่าวคั่ว,0.3,20.1,5.1,358,75,1.2
ข้าวคั่ว,0.3,4.1,3.7,358,75,1.2
ข้าวเจ้า,9.3,6.7,0.8,359,27.5,0.9
ข้าวบาเล่ย์,9.3,8.3,0.7,335,27.5,9.4
ข้าวโพดพันธุ์ข้าวเหนียว,1.6,4.6,4,161,27.5,3.7
ข้าวโพดหวานต้ม,6.8,2.8,5.3,107,27.5,3.3
ข้าวมันปู,9.3,7.1,2.8,355,27.5,3.9
"ข้าวเม่า, ข้าวเจ้า",9.3,7.3,2.1,134,76,0.7
ข้าวสวย,0.1,2.7,0.3,130,28,0.4
ข้าวสาลี,9.3,12.2,1.4,342,27.5,11.7
ข้าวเหนียว,0.8,8.3,3.2,365,27.5,1.9
"ข้าวเหนียว, ดิบ",9.3,6.3,0.6,354,27.5,0.5
"ข้าวเหนียว, นึ่ง",9.3,4.5,0.2,232,27.5,0.3
ข้าวเหนียวดำ,0.2,4.2,1.1,215,27.5,1.8
"ข้าวเหนียวดำ, ดิบ",9.3,7.5,2.9,350,27.5,4.9
ข้าวโอ๊ต,9.3,10.8,5.9,361,27.5,9.9
"ขิง, หั่นฝอย",9.3,0.6,0.2,134,7,0.7
ขิงแก่,9.3,1.2,0.6,134,5.9,0.7
ขิงอ่อน,9.3,0.5,0.3,11,27.5,1.4
ขึ้นฉ่าย,1.3,0.7,0.2,14,3,1.6
เขียด,9.3,15.1,2,80,27.5,0
ไข่ไก่,9.3,13,8.3,133,27.5,0
"ไข่ไก่, ไข่ขาว, ดิบ",9.3,10.2,1.1,51,27.5,0
ไข่ไก่ต้ม,9.3,13.2,8.3,138,27.5,0
ไข่ไก่อ่อน,9.3,19.8,32.5,373,27.5,0
ไข่ขาว,0.7,10.9,0.2,52,0.7,0
"ไข่เค็ม, ไข่เป็ด",9.3,13.7,9.7,180,27.5,0
"ไข่จระเข้, ดิบ",9.3,11.2,8.3,128,27.5,0
ไข่แดง,9.3,15.3,30.2,334,27.5,0
ไข่แดง,0.6,15.9,26.5,322,0,0
ไข่นกกระทา,9.3,13.7,11.6,160,27.5,0
"ไข่ปลากระบอก, เค็ม",9.3,41.7,34.8,480,27.5,0
"ไข่ปลาจะละเม็ด, ดิบ",9.3,13.6,7.7,135,27.5,0
ไข่ปลาบิน ,9.3,11.3,3.8,100,27.5,0
ไข่ปลาสลิดแห้งแดดเดียว,9.3,23,49.9,552,27.5,0
ไข่ปลาหมึก,9.3,21.6,18.1,285,27.5,0
ไข่เป็ด,9.3,13.6,11.6,162,27.5,0
"ไข่เป็ด, ไข่ขาว, ดิบ",9.3,5.7,2.5,134,27.5,0
"ไข่เป็ด, ไข่แดง, ดิบ",9.3,5.7,2.5,134,27.5,0
"ไข่เป็ด, ทั้งฟอง, ดิบ",9.3,13.9,12.2,173,27.5,0
ไข่มดแดง,9.3,7,3.2,86,27.5,0
ไข่มดแดง,9.3,8.2,2.6,74,27.5,0
ไข่แมงดา ,9.3,28,6,200,27.5,0
ไข่แมงมัน ,9.3,8.1,10.1,129,27.5,0
คนอร์,9.3,13.2,3.7,134,22.8,0.7
ครีมชีส,3.2,6.2,33,5.5,0,342
ครีมเทียม,9.3,2,36.2,560,27.5,0
คอหมู,9.3,18.4,12.8,189,27.5,0
คะน้า,0.8,2.5,0.2,29.4,4.4,1.3
คางกุ้ง,0.2,62,28,475,0,0
คางปลาหมึก,0,60,25,450,1,0
คื่นซ่าย,0.7,0.7,0.1,14,3.5,1.6
เค็มบักนัด,9.3,7.8,3.8,87,27.5,0
"เครื่องดื่มนมถั่วเหลือง, ผสมไวท์มอลต์",9.3,11.2,11.5,134,69.1,0.7
"เครื่องดื่มรสช็อกโกแลต, ผง",9.3,12,6.1,400,27.5,0
แคนตาลูป,6,0.5,0,29,27.5,0.6
แครอท,9.3,1.6,0.2,134,27.5,2.2
โครงไก่,9.3,19.1,25.3,134,27.5,0
งาขาว,9.3,20.1,51.1,134,27.5,21.4
งาขาว,0.5,18,50,573,23,11.8
งาดำ,9.3,20.6,51.9,134,27.5,15.7
งาดำ,9.3,23.3,52.1,134,27.5,15.7
งูสิง,9.3,22.9,0.3,99,27.5,0
เงาะ,9.3,6.8,28.8,397,27.8,0.7
เงาะ,9.3,1,0.1,134,17.9,0.7
จมูกข้าวสาลี,9.3,32.6,10.9,385,27.5,14.6
โจ๊กกึ่งสำเร็จรูป,2.3,9.9,1,350,27.5,0.9
ชมพู่,9.3,0.5,0,26,27.5,1.1
ช้อกโกแลต,47,7.8,30,546,61,7
ชะคราม,9.3,1.6,0.2,134,27.5,0.9
ชะอม,1.3,5.3,0.3,45.5,5.4,1.3
"ชานม, ต่อ 100 มล.",3.5,1.7,1.1,40,27.5,0
ชีส,1.4,25,33,402,1.3,0
เชดดาชีส,0,19.8,28.3,380,27.5,0
โชยุ,0.4,5.2,0.1,53,4.9,0.6
ไช้เท้า,2.2,0.5,0.1,20,4.5,1.5
ซอสปรุงรส,16.4,5.5,0,152,27.5,0
ซอสผัดไทย,27.4,2.8,7.2,222,27.5,7.3
ซอสพริก,22.5,0.8,0.7,110,27.5,0
ซอสพริกไทยดำ,16.3,4.6,0,134,33.8,0.7
ซอสพริกผสมมะเขือเทศ,40.7,0.8,0,156,27.5,2.2
ซอสมะเขือเทศ,25.8,2,0,126,27.5,1
ซอสมะเขือเทศ,3.8,1.3,0.1,20,40,0.5
ซอสมะเขือเทศผสมแครอท,7.7,2,9.4,116,27.5,1.9
ซอสมะม่วง,29.8,0.5,0.1,127,27.5,0.8
ซอสหอยนางรม,3.9,1.8,0,81,27.5,0
ซอสหอยนางรม,9.9,2.6,0.1,61,27.5,0.8
ซี่โครงหมู,9.3,18.9,14.7,134,27.5,0
ซีอิ๊วขาว,3.7,4.1,0,32,27.5,0
ซีอิ๊วขาว,4.8,3.8,0.1,47,27.5,0
ซีอิ๊วดำ,57.7,1,0,280,27.5,0
ซี้อิ้วดำหวาน,4.5,1.6,0.2,45,8,0.2
ซีอิ๊วหวาน,52.1,2.6,0,218,27.5,0
ซุปก้อน,9.3,13.2,3.7,134,22.8,0.7
ซุปก้อน รสต่างๆ,23,11.5,5.7,198,27.5,5.5
ซุปก้อนรสไก่ ,16.2,14.4,3.9,134,28.9,0.7
ซุปก้อนรสหมู,9.3,13.2,3.7,134,22.8,0.7
ซุปกึ่งสำเร็จรูป,11.6,8.6,15.1,134,55.3,0.7
ซุปน้ำดำสไตล์ญี่ปุ่น,2,1.2,0.3,25,3.5,0.1
แซลมอน,0,20,13,208,0,0
ไซรับรสส้ม,65,0,0,260,65,0
ดอกจันท์,9.3,14.2,15.4,134,48.2,0.7
ดอกไม้จีน,9.3,1.4,0.3,134,27.5,0.6
ต้นหอม,9.3,1.7,0.2,134,27.5,2.6
ต้นหอม,9.3,1.2,0.1,134,27.5,0.7
ต้นหอม,9.3,1.6,0.8,134,7.3,1.9
ต้นหอม,2.3,1.8,0.2,32,7.3,2.6
ต้นหอมญี่ปุ่น,9.3,1.6,0,134,27.5,2.5
"ตะโก, ผล",9.3,0.3,0,134,26,0.7
