ชื่ออาหาร,วิธีทำ
ขนมผิง,"1 มาเตรียมส่วนประกอบกันก่อนเลยไปคะ

2
นำน้ำกะทิ +น้ำตาลทราย มาตั้งไฟให้น้ำตาลละลายนะคะ

3
แล้วเรามาคั่วแป้งมันให้สุกคะ

4
พอแป้งมันเย็นตัวแล้ว นำไข่แดงมานวดกับแป้งคะ นวดให้เข้ากันดี

5
ตามด้วยน้ำกะทิ ค่อยๆใส่ไปทีละนิด แล้วนวดๆๆๆๆคะ

6
พอนวดได้ที่แล้ว พักแป้ง 1 คืนนะคะ

7
พอครบ 1 คืน นำแป้งออกมานวดอีกรอบ แล้วปั้นเป็นก้อนเล็กๆ 8 
แล้วนำไปเรียงที่ถาดอบ ห่างกันประมาณ 1 นิ้ว อบไฟ 180 องศา ประมาณ 10-12 นาที เปิดพักลมบน-ล่าง

9
พออบขนมเสร็นเรียบร้อยแล้วนำไปอบควันเทียนอีก ประมาณ 1 วัน ก็รับประทานได้แล้ว"
ไข่หวานต้นหอมญี่ปุ่น,"ซอยต้นหอมญี่ปุ่นอินทรีย์ เป็นเส้นบาง ๆ เตรียมไว้
ตอกไข่ใส่ถ้วย ตีไข่ให้พอแตก ปรุงรสด้วยโชยุ มิริน และน้ำตาลทราย เติมน้ำสะอาด แล้วคนให้เข้ากันดี กรองไข่ผ่านกระชอนเพื่อให้ได้ไข่เนื้อเนียน จากนั้นใส่ aro ต้นหอมญี่ปุ่นอินทรีย์ ที่ซอยไว้ แล้วคนให้เข้ากัน ตั้งกระทะเทฟลอนโดยใช้ไฟอ่อน ๆ นำน้ำมันพืชเช็ดให้ทั่วกระทะ พอกระทะร้อน ยกกระทะขึ้นจากเตา จากนั้นตักไข่ใส่ลงไปพอให้ไข่เคลือบเป็นแผ่นบาง ๆ ทั่วกระทะ
เมื่อไข่เริ่มเซตตัวดีใช้พายปาดขอบด้านข้าง ค่อย ๆ ม้วนไข่หวานจนเกือบสุดขอบกระทะ จากนั้นใช้พายช่วยประคองไข่ม้วน ให้ถอยหลังมาจุดเริ่มต้น
เช็ดกระทะด้วยน้ำมันอีกครั้งให้กระทะสะอาด ตักไข่ใส่ลงไป รอไข่เซตตัวแล้วม้วนต่อจนจบ ทำซ้ำจนไข่หมดหรือได้ความหนาตามต้องการ
เมื่อไข่หวานได้ความหนาตามต้องการแล้ว ตะแคงกระทะไปมาให้ครบทุกด้านเพื่อจัดทรงให้เป็นชิ้นสี่เหลี่ยม และให้เนื้อไข่หวานแน่นดี 
หั่นไข่หวานต้นหอมญี่ปุ่นเป็นชิ้นพอดีคำ ใส่จานเสิร์ฟคู่กับ aro ต้นหอมญี่ปุ่นอินทรีย์ ซอยให้สวยงาม"
ข้าวไข่ข้นกุ้ง เนื้อนุ่มละมุนลิ้น,"1
นำไข่ตอกใส่ชาม แล้วตามด้วยนมสดพร่องมันเนย หรือจะเป็นนมสดแบบธรรมดาก็ได้ จากนั้นปรุงรสด้วยซีอิ๊วขาว
หากใครทานคลีนให้เปลี่ยนจากซีอิ๊วขาวเป็นเกลือแทนค่ะ

2
ใส่น้ำมันลงบนกระทะ ตั้งไฟให้กลาง จากนั้นเทไข่ที่เตรียมไว้ลงไป

3
ใช้ตะหลิวหรือช้อน ค่อยๆตะล่อมไข่เข้าไปตรงกลาง เพื่อให้เนื้อไข่ที่ยังไม่สุก ไหลออกมา

4
เมื่อไข่เริ่มสุก ให้ใส่กุ้งที่ลวกไว้แล้ว ลงไปบนไข่ กุ้งจะใส่ทั้งตัวหรือหั่นเป็นชิ้นเล็กๆก็ได้ค่ะ
เคล็ดลับ: ต้องคอยสังเกตอย่าให้ไข่สุกมากจนเกินไป ไม่เช่นนั้นจะกลายเป็นไข่เจียวแทนนะจ๊ะ ^^

5
นำไข่ข้นกุ้งโป๊ะลงไปบนข้าวสวยร้อนๆๆ พร้อมเสริฟ์แล้วค่ะ"
ข้าวไข่ข้นกิมจิเบคอนกรอบ,"ตอกไข่ใส่ในชามผสม เติมโคชูจังลงไป ตามด้วยน้ำมันหอย น้ำปลา และกิมจิ จากนั้นคนให้เข้ากัน พักไว้ นำเบคอนใส่ลงในกระทะ ตั้งไฟกลาง ทอดจนสุกกรอบ พักไว้
ในกระทะใบเดิม ทอดไข่ข้นในน้ำมันเบคอนจนได้ความสุกตามที่ต้องการ นำไข่ข้นวางบนข้าวสวย โรยด้วยเบคอน และต้นหอม พร้อมเสิร์ฟ"
ไข่พะโล้โบราณ สูตรไม่ง้อเครื่องยาจีน,"1
นำไข่ไก่มาล้างเปลือกให้สะอาด แล้วนำไปต้ม 10 นาที ให้ใส่เกลือลงไปด้วย 1 ช้อนจะได้ปอกง่าย

พอครบ 10 นาที เทน้ำออกแล้วนำไข่ไปแช่ทิ้งไว้ในน้ำเย็น

ไข่เย็นแล้วค่อยๆแกะเปลือกออก

เคล็ดลับ: ใช้ไข่เป็ดจะยิ่งอร่อย

2
เอาหมูสามชั้นมาล้างให้สะอาด หั่นชิ้นสี่เหลี่ยมลูกเต๋า ให้หนาหน่อย เพราะเวลาต้มแล้วจะหดลงอีก
3
เอาพริกไทย กระเทียม รากผักชี เอาไปตำรวมกัน

4
ตำจนละเอียดเป็นสามเกลอ

5
ตั้งกระทะหรือว่าหม้อสำหรับต้มก้อได้ค่ะ

ใส่น้ำมันลงไป พอน้ำมันร้อนให้เอาสามเกลอลงไปผัดให้หอมเลย

6
จากนั้นเติมน้ำตาลปีบลงไป ค่อยๆเติมก้อได้นะคะ ระวังจะหวาน ค่อยๆผัดใช้ไฟอ่อนจะเขี้ยวเป็นสีน้ำตาลสวยๆ

7
จากนั้นนำหมูสามชั้นที่หั่นเตรียมไว้ลงไปผัดจนหมูเริ่มสุก

8
ค่อยๆเติมนำลงไปให้ท้วมหมู จากนั้นเปิดไฟกลาง ต้มต่อ 1 ชม. ให้หมูนุ่ม

9
เติมไข่ลงไป ปรุงรสด้วยซีอิ้วขาว ผงปรุงรส ถ้าสียังไม่เข้ม เติมซี้อิ่วดำลงไปเล็กน้อย ต้มต่ออีกครึ่งชม. จากนั้นชิมรสตามชอบใจ"
พิซซ่าไข่ขาว,"ตั้งกระทะใส่น้ำมันพืช นำควินัวลงไปผัดสักครู่
จากนั้นใส่ เอโร่ ไข่ขาวเหลวพาสเจอร์ไรซ์แช่เย็น ลงกระทะ
รอจนไข่ขาวสุกเซ็ตตัวดี ปิดเตา แล้วยกขึ้น ทาซอสพิซซ่าให้ทั่วไข่ขาว เว้นตรงขอบไว้เล็กน้อย
โรยชีสมอสซาเรลล่าให้ทั่ว จากนั้นวางเห็ดแชมปิญอง พริกหวานสามสี และมะเขือเทศ
วางเชดด้าชีสตรงกลาง แล้วโรยมอสเซอเรลล่าชีสให้ทั่วอีกครั้ง วอร์มเตาอบที่อุณหภูมิ 180 องศาเซลเซียส แล้วนำพิซซ่าไข่ขาวเข้าอบทั้งกระทะเป็นเวลา 10 นาที
เมื่อชีสละลายขึ้นสีสวย นำออกจากเตาอบ วางใบโหระพา แล้วตัดชิ้นหั่นเสิร์ฟ "
ไข่ลูกเขย,"1
นำไข่เป็ดลงหม้อ ใส่น้ำพอท่วม ใส่เกลือนิดหน่อย เปิดไฟแรง
จับเวลาอีก 5 นาที

แล้วน้ำไข่มาแช่น้ำเย็นจัดๆทันทีอีก 10 นาที
2
นำไข่ที่แกะเปลือกออก ลงทอดด้วยไฟปานกลางประมาณ 1 นาที กลับไปมา ให้เหลืองดูน่ารับประทาน

หั่นไข่เป็น 2 ซีก จัดเรียงบนจาน
3
ทำน้ำราด

นำน้ำมันที่ทอดไข่ เหลือในกระทะสัก 1 ช้อนโต๊ะ

เปิดไฟอ่อนสุด นำน้ำตาลมะพร้าวลงกวนในน้ำมันก่อนสุด
ให้สีออกเข้มๆ แล้วใส่น้ำมะขามเปียกกับน้ำปลา ลงในกระทะ เปิดไฟอ่อนเคียวต่ออีก 10-12 นาที

*น้ำราดเริ่มเหนี่ยวนิดๆ นำมาราดไข่

โรยหน้าด้วยหอมเจียว ตามด้วยพริกทอด แต่หน้าด้วยผักชี
4
ทำน้ำราด การทำน้ำราดคือ เอาน้ำมันที่ทอดไข่ เหลือในกระทะสัก 3 ช้อนโต๊ะ เปิดไฟอ่อนสุด อย่าแรง นำน้ำตาลมะพร้าวลงกวนในน้ำมันก่อนสุด ให้สีออกเข้มๆ อย่าไหม้ แล้วเอาน้ำมะขามเปียกกับน้ำปลาดี ลงคนในกระทะ เปิดไฟอ่อนเคียวต่ออีก 10-12 นาที จนน้ำราดเริ่มเหนี่ยวนิดๆ นำมาราดไข่ แล้วเอาหอมเจียวโรย ตามด้วยพริกทอด แต่หน้าด้วยผักชี เป็นอันเสร็จ
5
เมนูไข่เปรี้ยวหวานโดนใจ กินได้ทั้งครอบครัว"
ไข่เจียวสามเกลอ,"สับไข่เค็มและไข่เยี่ยวม้าเตรียมไว้ ตอกไข่ไก่ใส่ชาม ใส่กุ้งสับและหมูสับ ตามด้วยไข่เค็ม ไข่เยี่ยวม้าที่สับแล้วลงไป
ปรุงรสด้วยน้ำปลาและผงปรุงรส ตั้งกระทะ ใส่น้ำมัน เมื่อน้ำมันร้อนก็ใส่ส่วนผสมลงไป
เจียวไข่จนสุก เสิร์ฟคู่กับข้าวสวยและซอสพริก "
ไข่แดงดองน้ำปลากวน,"1
ตั้งหม้อทำน้ำปลากวนใส่ส่วนผสม น้ำเปล่า น้ำปลาเมกาเชฟ น้ำตาลมะพร้าว น้ำตาลทราย เปิดไฟกลาง คนให้ส่วนผสมละลายให้หมด และตั้งให้เดือดสักครู่แล้วพักไว้ให้เย็น
2
ตอกไข่ ช้อนเอาแต่ไข่แดง ใส่ภาชนะที่มีฝาปิด เพื่อนำน้ำปลากวนที่เตรียมไว้มาเทใส่

3
เมื่อน้ำปลาหายร้อนแล้ว แนะนำให้เป็นอุณหภูมิห้องนะครับ เดี๋ยวไข่จะสุก นำน้ำปลาเทใส่ลงไปในภาชนะที่ใส่ไข่แดงเตรียมไว้

4
ปิดฝาแช่ตู้เย็นไว้ 1 คืน เช้ามานำมาเปิดฝาแล้วกลับด้านไข่เอาด้านที่ยังไม่โดนน้ำลง และแช่เย็นต่อไปอีกประมาณ 6 ชม.
5
ก็จะได้ไข่แดงดองน้ำปลากวน ทานพร้อมข้าวสวย และน้ำจิ้มซีฟู๊ด มันจะอร่อยมาก"
เบคอนคัพไข่ชีส,"วอร์มเตาอบที่อุณหภูมิที่ 180 องศาเซลเซียส เป็นเวลา 15 นาที
หั่นตัดแต่งเบคอนและตัดให้ความยาวพอดีกับพิมพ์อบ หั่นเบคอนในแนวข้างไม่ให้ขาดออกจากกัน
จัดเรียงเบคอนลงในพิมพ์อบให้สวยงาม ตอก ไข่ไก่ออร์แกนิค ตรา เอโร่ ใส่ลงไป ปรุงรสด้วยเกลือและพริกไทยเล็กน้อย
นำเข้าอบในพิมพ์เป็นเวลา 10-15 นาที จากนั้นโรยด้วยชีสมอซซาเรลล่า
จากนั้นใช้ไฟเบิร์นให้ชีสละลายให้สวยงาม นำออกจากเตาจัดใส่จาน แล้วโรยตกแต่งด้วยต้นหอมซอย พร้อมเสิร์ฟ"
