ชื่ออาหาร,วัตถุดิบ_ไม่มีปริมาณ,,query1 อยากกินอาหารครบ,query2 ,query 3 
แกงเลียงกุ้งสด,"กุ้ง, ข้าวโพด, ฟักทอง, บวบ, เห็ด, ใบแมงลัก, น้ำซุป, น้ำปลา, ซีอิ๊วขาว, น้ำตาล, หอมแดง, กุ้งแห้ง, กระชาย, พริกไทย, กะปิ, พริกขี้หนู, รากผักชี",,อยากกินอาหารที่มี กุ้ง ฟักทอง ข้าวโพด กะปิ พริกขี้หนู แคลมากๆจะได้อร่อยๆ กินอิ่ม ,อยากอีส อาหารนัวๆ เผ็ด มีกุ้ง บวบ เห็ด ข้าวโพด,อยากอีส แกงที่มี กุ้งนัวๆ แซ่บๆ มี บวบ ฟักทอง 
ปลานึ่งมะนาว,"ปลา,  น้ำปลา,  มะนาว,  น้ำตาล,  พริกขี้หนู,  กระเทียม,  ผักชี,  ตะไคร้",,อยากกิน ปลา น้ำปลา มะนาว น้ำตาล พริก แคลกำลังดี ประมาณกลางๆ ไขมันน้อย,อยากกินปลา แซ่บๆ เปรี้ยวๆ อร่อยๆ กินแล้วชื่นใจ เผ็ด เปริ้ยวกำลังดี  ไขมันน้อย,อยากกินอะไรที่มัน จิ้ดจ๊าด มีพริก  มะนาว ทำมาจากปลา
มาม่าผัดขี้เมาทะเล,"กุ้ง, ปลา, ปลาหมึก, มาม่า,  ใบโหระพา,  พริกไทย,  ไข่ไก่,  พริกขี้หนู,  กระเทียม,  ซีอิ๊วดำ",,อยากกินมาม่าทะเล แซ่บๆ อร่อย มีกุ้ง เม็ดพริกไทย ไข่ไก่ โปรตีนสูง เครื่องเราเต็มไปด้วยโปรตีน,อยากกินมาม่า กุ้ง ปลาหมึก และพริก ทำอาหารอะไรดี ไขมันน้อย อร่อยนๆ,อาหารยามดึกต้องมาม่า แต่มีพวกอาหารทะเลอีกเอามาทำเมนูอะไรดี
แกงเขียวหวานหมู (มือใหม่หัดแกง),"หมู,  พริกแกง,  หัวกะทิ,  ใบโหระพา,  มะเขือ,  พริกชี้ฟ้า,  ใบมะกรูด,  น้ำตาลมะพร้าว,  น้ำปลา,  น้ำมัน",,อยากกินเอาพริกแกงเขียวหวาน มาใช้จัง มีมะเขือเปราะ มะเขือพวง ใบมะกรูด น้ำตาล น้ำปลา หัวกะทิ,อยากกิน หมู เอามาทำกับหัวกะทิ ใบโหระพา มะเจือ พริกแกง,อยากกินแกงเขียวหวานหมู รสชาติดี มีมะเขือ มีพริก แคลมากๆ จะได้อร่อย อิ่ม ฟิน 
แกงป่า,"ไก่,  พริกไทย, พริก, ผงปรุงรส,  พริกแกง,  ใบกะเพรา,  มะเขือเปาะ,  มะเขือพวง,  กระชาย, ถั่วฝักยาว,  น้ำตาล",,อยากกิน ไก่ พริกแกง  มีใบกะเพรา มะเขือ กระชาย ถั่วฝักยาว ทำเมนูอะไรดี ขอไขมันน้อยๆ,อยากกิน แกง เค็มเผ็ดนำ เปรี้ยวตาม หอมกลิ่นกระชาย มีถั่วฝักยาว  เคี้ยวกรุ๊บๆ ,อยากกินอาหารที่มันมีรสชาติ เค็มนำ เปรี้ยวตาม ใส่วัตถุดิบได้หลากหลาย เช่น ไก่ มะเขือ กระชาย น้ำตาล
แกงส้มปลากระพงผักรวม (แกงส้มปักษ์ใต้),"ปลากระพง, พริกแกง,  ผัก,  น้ำปลา,  น้ำตาล",,อยากกิน ปลากระพง พริกแกง ผัก ส้มแขก น้ำปลา น้ำตาล  เป็นแกง ไขมันน้อย,อยากกินอาหารที่มีรสเปรี้ยวนำ ตามด้วยเผ็ด หวาน เค็ม อร่อยๆ มี ปลากระพง พริกแกงเหลือง,แกง ที่มีส้มแขก และพริกแกงเพิ่มความนัว มี ปลากระพงอร่อยๆ ไขมันน้อย เฮลตี้ๆ
ต้มยำกุ้งน้ำใส,"กุ้ง, เห็ดฟาง, ข่า, ตะไคร้, ใบมะกรูด, หอมแดง, พริกขี้หนู, คนอร์, มะนาว, น้ำปลา",,อยากกิน เห็ด กุ้งตัวโตๆ ข่า ตะไคร้ ใบมะกรูด อร่อยๆ ไขมันน้อย เหมาะกับคนเฮลตี้เหมือนเรา,อยากกิน ต้มยำอร่อยๆ เห็ด กุ้ง รสดี ขอแบบไขมันน้อยด้วย,มีกุ้งตัวใหญ่ๆ ตะไคร้ ใบมะกรูด อยากกินเมนูน้ำ ไขมันน้อย
แกงส้มใต้,"มะละกอ,  ปลาทับทิม,  พริกแกง,  น้ำมะขามเปียก,  น้ำปลา,  เกลือ,  น้ำตาลปีบ",,มีมะละกอ มีปลาทับทิมตัวใหญ่ๆ และพริกแกงส้มใต้,แกงไขมันน้อย โปรตีนน้อย มีปลา ใช้มะละกอ และมีพริกแกง,อยากกินอาหารรสชาติดี มีมะละกอ ปลาทับทิม น้ำมะขามเปียดเพิ่มความอร่อย
ปลาเผาผักสด/เมี่ยงปลาเผา/ปลานิลเผาเกลือ แบบใช้เตาอบ,"ปลา,  เกลือ,  แป้งสาลีเอนกประสงค์,  ตะไคร้,  ใบเตย,  ผัก,  กุ้ง, เส้นหมี่",,มีปลากับเกลือ ตะไคร้ ใบเตย ทำเมนูอะไรดี,อยากกินอาหารที่ดีต่อสุขภาพ ไขมันน้อย มีรสชาติเค็มเล็กน้อยๆจะได้อร่อยๆ ทำมาจากปลา,อยากกินเมี่ยง ปลาเผา รสชาติดี 
น้ำพริกกะปิสูตรคุณยาย,"กะปิ,  น้ำตาลปี๊บ,  พริกสด,  กระเทียม,  มะเขือ,  น้ำมะนาว,  น้ำเปล่า",,อยากกิน น้ำพริก แซ่บๆ รสนัวๆ  มีมะเขือ  แคลน้อย,อยากอีส น้ำพริกกะปิ มีกะปิเยอะๆ,มีพริก มีกะปิ กระเทียม รสดีๆ แคลน้อย โปรตีนน้อย  ไขมันน้อย 
