ชื่ออาหาร,ingredient_full_json,ระดับแคลอรี่,ระดับโปรตีน,ระดับไขมัน,ระดับคาร์บ,วัตถุดิบ_ไม่มีปริมาณ,query1 อยากกินอาหารครบ,query2,query3
แกงเลียงกุ้งสด,"""กุ้งสดปอกเปลือกผ่าหลัง: 250กรัม
ข้าวโพดอ่อนหั่น: 80กรัม
ฟักทองหั่นชิ้นพอดีคำ: 240กรัม
บวบหั่นเป็นชิ้นๆ: 230กรัม
เห็ดรวม (ตามชอบ): 250กรัม
ใบแมงลัก: 1ถ้วย
น้ำซุป: 4ถ้วย
น้ำปลา: 2ช้อนโต๊ะ
ซีอิ๊วขาว: 1ช้อนโต๊ะ
น้ำตาล: 1ช้อนชา
---พริกแกงเลียง--: 
หอมแดง: 6หัว
กุ้งแห้งป่น: 3ช้อนโต๊ะ
กุ้งสดลวก: 3ตัว
กระชาย: 3แง่ง
พริกไทยเม็ด: 1ช้อนโต๊ะ
กะปิ: 1 1/2ช้อนโต๊ะ
พริกขี้หนูสวน: 8เม็ด
รากผักชี: 1ราก""",แคลมาก,โปรตีนสูง,ไขมันกลาง,คาร์บสูง,"กุ้ง, ข้าวโพด, ฟักทอง, บวบ, เห็ด, ใบแมงลัก, น้ำซุป, น้ำปลา, ซีอิ๊วขาว, น้ำตาล, หอมแดง, กุ้งแห้ง, กระชาย, พริกไทย, กะปิ, พริกขี้หนู, รากผักชี",อยากกินอาหารที่มี กุ้ง ฟักทอง ข้าวโพด กะปิ พริกขี้หนู แคลมากๆจะได้อร่อยๆ กินอิ่ม ,อยากอีส อาหารนัวๆ เผ็ด มีกุ้ง บวบ เห็ด ข้าวโพด,อยากอีส แกงที่มี กุ้งนัวๆ แซ่บๆ มี บวบ ฟักทอง 
ปลานึ่งมะนาว,"""ปลา ตามชอบ ปลากะพง ปลาทับทิม ปลานิล ฯลฯ: 1ตัว
น้ำปลา: 2 ช้อนโต๊ะ
มะนาว (ชิมตามความเปรี้ยว): 3-4 ช้อนโต๊ะ
น้ำตาล: 1 ช้อนชา
พริกขี้หนูสับ: 2 ช้อนโต๊ะ
กระเทียมสับ: 2 ช้อนโต๊ะ
ผักชี: 1ต้น
ตะไคร้: ครึ่งต้น""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"ปลา,  น้ำปลา,  มะนาว,  น้ำตาล,  พริกขี้หนู,  กระเทียม,  ผักชี,  ตะไคร้",อยากกิน ปลา น้ำปลา มะนาว น้ำตาล พริก แคลกำลังดี ประมาณกลางๆ ไขมันน้อย,อยากกินปลา แซ่บๆ เปรี้ยวๆ อร่อยๆ กินแล้วชื่นใจ เผ็ด เปริ้ยวกำลังดี  ไขมันน้อย,อยากกินอะไรที่มัน จิ้ดจ๊าด มีพริก  มะนาว ทำมาจากปลา
มาม่าผัดขี้เมาทะเล,"""กุ้ง เนื้อปลา ปลาหมึก: ไม่ต้องเยอะมากอะ กะเอาเอง
มาม่าบิ๊กแพ๊ครสต้มยำ: 1 ซอง
ใบโหระพา: 
เม็ดพริกไทย: 
ไข่ไก่: 
พริกขี้หนูสด: 
กระเทียม: 
ซีอิ๊วดำ:""",แคลกลาง,โปรตีนสูง,ไขมันน้อย,คาร์บกลาง,"กุ้ง, ปลา, ปลาหมึก, มาม่า,  ใบโหระพา,  พริกไทย,  ไข่ไก่,  พริกขี้หนู,  กระเทียม,  ซีอิ๊วดำ",อยากกินมาม่าทะเล แซ่บๆ อร่อย มีกุ้ง เม็ดพริกไทย ไข่ไก่ โปรตีนสูง เครื่องเราเต็มไปด้วยโปรตีน,อยากกินมาม่า กุ้ง ปลาหมึก และพริก ทำอาหารอะไรดี ไขมันน้อย อร่อยนๆ,อาหารยามดึกต้องมาม่า แต่มีพวกอาหารทะเลอีกเอามาทำเมนูอะไรดี
แกงเขียวหวานหมู (มือใหม่หัดแกง),"""เนื้อหมู: 1 Kg
พริกแกงเขียวหวาน: 2 ขีด
หัวกะทิ: 500 ml
ใบโหระพา: 
มะเขือเปราะ: 
มะเขือพวง: 
พริกชี้ฟ้า: 
ใบมะกรูด: 
น้ำตาลมะพร้าว: 
น้ำปลา: 
น้ำมันพืช:""",แคลมาก,โปรตีนกลาง,ไขมันกลาง,คาร์บสูง,"หมู,  พริกแกง,  หัวกะทิ,  ใบโหระพา,  มะเขือ,  พริกชี้ฟ้า,  ใบมะกรูด,  น้ำตาลมะพร้าว,  น้ำปลา,  น้ำมัน",อยากกินเอาพริกแกงเขียวหวาน มาใช้จัง มีมะเขือเปราะ มะเขือพวง ใบมะกรูด น้ำตาล น้ำปลา หัวกะทิ,อยากกิน หมู เอามาทำกับหัวกะทิ ใบโหระพา มะเจือ พริกแกง,อยากกินแกงเขียวหวานหมู รสชาติดี มีมะเขือ มีพริก แคลมากๆ จะได้อร่อย อิ่ม ฟิน 
แกงป่า,"""เนื้อไก่: 200 g
พริกไทย: ตามชอบ
พริกแดง: ตามชอบ
ผงปรุงรส: 1 Tbs
พริกแกง: 20 g
ใบกะเพรา: 1กำมือ
มะเขือเปาะ: 7ผล
มะเขือพวง: 2พวง
กระชาย: ตามชอบ
ถั่งฝักยาว: 2ฝัก
น้ำตาล: เล็กน้อย""",แคลมาก,โปรตีนกลาง,ไขมันน้อย,คาร์บสูง,"ไก่,  พริกไทย, พริก, ผงปรุงรส,  พริกแกง,  ใบกะเพรา,  มะเขือเปาะ,  มะเขือพวง,  กระชาย, ถั่วฝักยาว,  น้ำตาล",อยากกิน ไก่ พริกแกง  มีใบกะเพรา มะเขือ กระชาย ถั่วฝักยาว ทำเมนูอะไรดี ขอไขมันน้อยๆ,อยากกิน แกง เค็มเผ็ดนำ เปรี้ยวตาม หอมกลิ่นกระชาย มีถั่วฝักยาว  เคี้ยวกรุ๊บๆ ,อยากกินอาหารที่มันมีรสชาติ เค็มนำ เปรี้ยวตาม ใส่วัตถุดิบได้หลากหลาย เช่น ไก่ มะเขือ กระชาย น้ำตาล
แกงส้มปลากระพงผักรวม (แกงส้มปักษ์ใต้),"""ปลากระพง(ประมาณ1กิโล): 1ตัว
พริกแกงเหลือง: 3-4ช้อนโต๊ะ
ผักตามชอบ(มะละกอ แครอท ถั่วฟักยาว: ตามชอบ
ส้มแขก: 4-5ชิ้น
น้ำปลา: 3-4ช้อนโต๊ะ
น้ำตาล: 2-3ช้อนโต๊ะ""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"ปลากระพง, พริกแกง,  ผัก,  น้ำปลา,  น้ำตาล",อยากกิน ปลากระพง พริกแกง ผัก ส้มแขก น้ำปลา น้ำตาล  เป็นแกง ไขมันน้อย,อยากกินอาหารที่มีรสเปรี้ยวนำ ตามด้วยเผ็ด หวาน เค็ม อร่อยๆ มี ปลากระพง พริกแกงเหลือง,แกง ที่มีส้มแขก และพริกแกงเพิ่มความนัว มี ปลากระพงอร่อยๆ ไขมันน้อย เฮลตี้ๆ
ต้มยำกุ้งน้ำใส,"""กุ้งไซส์กลาง-ใหญ่ 6 ตัว: 
เห็ดฟาง 200 กรัม: 
ข่าหั่นเป็นชิ้นบางๆ 15 ชิ้น: 
ตะไคร้ 3 ต้น: 
ใบมะกรูด 5 ใบ: 
หอมแดง 5 หัว: 
พริกขี้หนูสวน 10 เม็ด: 
คนอร์ขวดซอสข้นปรุงรส 2 ช้อนโต๊ะ: 
มะนาว 6 ช้อนโต๊ะ: 
น้ำปลา 2 ช้อนโต๊ะ:""",แคลกลาง,โปรตีนกลาง,ไขมันน้อย,คาร์บกลาง,"กุ้ง, เห็ดฟาง, ข่า, ตะไคร้, ใบมะกรูด, หอมแดง, พริกขี้หนู, คนอร์, มะนาว, น้ำปลา",อยากกิน เห็ด กุ้งตัวโตๆ ข่า ตะไคร้ ใบมะกรูด อร่อยๆ ไขมันน้อย เหมาะกับคนเฮลตี้เหมือนเรา,อยากกิน ต้มยำอร่อยๆ เห็ด กุ้ง รสดี ขอแบบไขมันน้อยด้วย,มีกุ้งตัวใหญ่ๆ ตะไคร้ ใบมะกรูด อยากกินเมนูน้ำ ไขมันน้อย
แกงส้มใต้,"""มะละกอ: 1 ลูก
ปลาทับทิม: 1 ตัว
น้ำพริกแกงส้มใต้: 1 ซอง
น้ำมะขามเปียก: 5 ช้อนโต๊ะ
น้ำปลา: 3 ช้อนโต๊ะ
เกลือ: 1 ช้อนชา
น้ำตาลปีบ: 1 ช้อนโต๊ะ""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บสูง,"มะละกอ,  ปลาทับทิม,  พริกแกง,  น้ำมะขามเปียก,  น้ำปลา,  เกลือ,  น้ำตาลปีบ",มีมะละกอ มีปลาทับทิมตัวใหญ่ๆ และพริกแกงส้มใต้ ไขมันน้อย ,แกงไขมันน้อย โปรตีนน้อย มีปลา ใช้มะละกอ และมีพริกแกง,อยากกินอาหารรสชาติดี มีมะละกอ ปลาทับทิม น้ำมะขามเปียดเพิ่มความอร่อย
ปลาเผาผักสด/เมี่ยงปลาเผา/ปลานิลเผาเกลือ แบบใช้เตาอบ,"""ปลา: 1 ตัว
เกลือป่น: 250 กรัม
แป้งสาลีเอนกประสงค์หรือแป้งมัน: 1 ช้อนโต๊ะ
ตะไคร้: 2ต้น
ใบเตย: 2 ใบ
ผักแกล้มผักต่างๆตามชอบ: 
ซีฟู้ดกุ้ง,ปลาหมึก ตามชอบ: 
เส้นหมี่ ตามชอบ:""",แคลกลาง,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"ปลา,  เกลือ,  แป้งสาลีเอนกประสงค์,  ตะไคร้,  ใบเตย,  ผัก,  กุ้ง, เส้นหมี่",มีปลากับเกลือ ตะไคร้ ใบเตย ทำเมนูอะไรดี ที่ไขมันน้อย รสชาติดี,อยากกินอาหารที่ดีต่อสุขภาพ ไขมันน้อย มีรสชาติเค็มเล็กน้อยๆจะได้อร่อยๆ ทำมาจากปลา,อยากกินเมี่ยง ปลาเผา รสชาติดี 
น้ำพริกกะปิสูตรคุณยาย,"""กะปิ: 1 ทัพพี
น้ำตาลปี๊บ: 1 ทัพพี
พริกสด: 1 กำมือ
กระเทียม: 1 กำมือ
มะเขือพวง: 1/2 ถ้วย
น้ำมะนาวคั้นสด: 1 ทัพพี
น้ำเปล่า: 1 ทัพพี""",แคลน้อย,โปรตีนน้อย,ไขมันน้อย,คาร์บกลาง,"กะปิ,  น้ำตาลปี๊บ,  พริกสด,  กระเทียม,  มะเขือ,  น้ำมะนาว,  น้ำเปล่า",อยากกิน น้ำพริก แซ่บๆ รสนัวๆ  มีมะเขือ  แคลน้อย ,อยากอีส น้ำพริกกะปิ มีกะปิเยอะๆ,มีพริก มีกะปิ กระเทียม รสดีๆ แคลน้อย โปรตีนน้อย  ไขมันน้อย 
