ชื่ออาหาร,วัตถุดิบ
ขนมผิง,"แป้งมัน2 ถ้วยตวง
น้ำตาลทราย150 กรัม
กะทิ(อบควันเทียน)1/2 ถ้วยตวง
ไข่แดง1 ฟอง
น้ำเปล่า2 ช้อนโต๊ะ"
ไข่หวานต้นหอมญี่ปุ่น,"aro ต้นหอมญี่ปุ่นอินทรีย์ 200 กรัม
ไข่ไก่ 6 ฟอง
โชยุ 1 ช้อนโต๊ะ 
มิริน 1 ช้อนโต๊ะ
น้ำตาล 1 ช้อนโต๊ะ
น้ำสะอาด 50 กรัม"
ข้าวไข่ข้นกุ้ง เนื้อนุ่มละมุนลิ้น,"ไข่ไก่เบอร์ 01 ฟอง
ซีอิ๊วขาว1 /2ช้อนชา
นมสด (พร่องมันเนย)1 ช้อนโต๊ะ
น้ำมัน1/2 ช้อนชา
กุ้งลวกสุกแล้ว5 ตัว"
ข้าวไข่ข้นกิมจิเบคอนกรอบ,"เบคอน 200 กรัม  
ไข่ 4 ฟอง  
ต้นหอม ตามชอบ  
กิมจิ 50 กรัม  
ข้าว 1 ถ้วย  
โคชูจัง 1 ช้อนโต๊ะ  
น้ำมันหอย 1/2 ช้อนโต๊ะ  
น้ำปลา 1/2 ช้อนโต๊ะ"
ไข่พะโล้โบราณ สูตรไม่ง้อเครื่องยาจีน,"ไข่ไก่หรือไข่เป็ด10 ฟอง
น้ำตาลปีบ3-4 ช้อน
ซีอิ้วดำหวาน2 ช้อน
หมูสามชั้น1/2 โล
พริกไทย15-20 เม็ด
รากผักชี3-4 ต้น
กระเทียม10-15 กลีบ
น้ำมัน1-2 ช้อน
ซี้อิ้วขาว4-5 ช้อน
ผงปรุงรสหมู1 ช้อน
เกลือ1 ช้อน"
พิซซ่าไข่ขาว,"ไข่ขาวเหลวพาสเจอร์ไรซ์แช่เย็น 300 กรัม 
ควินัวต้มสุก 2 ช้อนโต๊ะ 
ซอสพิซซ่าสำเร็จรูป 3 ช้อนโต๊ะ 
มอสเซอเรลล่าชีส 100 กรัม 
พริกหวานสามสีหั่นเส้น 30 กรัม 
มะเขือเทศเชอร์รี่หั่นครึ่ง 30 กรัม 
เห็ดแชมปิญองสไลด์ 20 กรัม 
เชดดา ชีส 50 กรัม 
ใบโหระพา 5 กรัม"
ไข่ลูกเขย,"ไข่เป็ด4 ฟอง
พริกชี้ฟ้าแห้ง (ทอด)10 เม็ด
หอมเจียว1 ช้อนโต๊ะ
ผักชีสำหรับโรยหน้า
น้ำปลา1 ช้อนโต๊ะ
น้ำตาลปี๊ป3 ช้อนโต๊ะ
น้ำมะขามเปียกเข้มข้น3 ช้อนโต๊ะ
น้ำมันสำหรับทอด"
ไข่เจียวสามเกลอ,"ไข่ไก่ 3 ฟอง  
ไข่แดงเค็ม 5 ฟอง  
ไข่เยี่ยวม้า 2 ฟอง 
หมูสับ 80 กรัม  
กุ้งสับ 50 กรัม  
น้ำปลา 1 ช้อนโต๊ะ  
ผงปรุงรส 1 ช้อนชา"
ไข่แดงดองน้ำปลากวน,"ไข่ไก่10 ฟอง
น้ำปลาเมกาเชฟ1 ถ้วยตวง
น้ำตาลมะพร้าว50 กรัม
น้ำตาลทราย50 กรัม
น้ำเปล่า1 ถ้วยตวง"
เบคอนคัพไข่ชีส,"ไข่ไก่ออร์แกนิค ตรา เอโร่ 10 ฟอง
เบคอน 150 กรัม 
ชีสมอซซาเรลล่า 100 กรัม 
ต้นหอม สำหรับตกแต่ง
เกลือ เล็กน้อย
พริกไทย เล็กน้อย"
ไข่เป็ดต้มยางมะตูม,"ไข่เป็ด3ฟอง
เกลือ1ช้อนโต๊ะ"
ไข่ต้มดองซีอิ๊ว,"ไข่ไก่ 8 ฟอง  
ซีอิ๊วญี่ปุ่น 1/2 ถ้วยตวง  
น้ำสะอาด 1 ลิตร  
งาขาวคั่ว 1/4 ถ้วยตวง  
พริกจินดาแดงซอย 3 เม็ด  
พริกจินดาเขียวซอย 3 เม็ด 
มิริน 1/4 ถ้วยตวง "
ไชโป๊วผัดไข่,"หัวไชโป๊ว(รสหวาน) หั่นเป็นเส้น200 กรัม
ไข่2 ฟอง
กระเทียมสับ1 ช้อนโต๊ะ
น้ำตาลทรายเล็กน้อย
ซีอิ๊วขาว
น้ำมันสำหรับผัด "
ข้าวผัดอเมริกันไข่ข้น,"น่องไก่ 2 น่อง  
เกลือ เล็กน้อย  
พริกไทย เล็กน้อย 
แป้งทอดกรอบ 1/2 ถ้วยตวง  
ไส้กรอก ตามชอบ  
หอมหัวใหญ่สับ 2 ช้อนโต๊ะ 
กระเทียมสับ 1 ช้อนโต๊ะ 
ลูกเกดดำ 2 ช้อนโต๊ะ  
ผักสามสี 3 ช้อนโต๊ะ  
ข้าวหอมมะลิแช่เย็น 2 ถ้วย  
เกลือ 1 ช้อนชา 
พริกไทยป่น 1/2 ช้อนชา  
เนยจืด 2 ช้อนโต๊ะ  
ซอสมะเขือเทศ 3 ช้อนโต๊ะ  
น้ำตาลทราย 1 ช้อนโต๊ะ  
ซีอิ๊วขาว 1 ช้อนโต๊ะ  
ไข่ไก่ 2 ฟอง  
นมสด 2 ช้อนโต๊ะ  
เกลือ 1/2 ช้อนชา 
พริกไทย 1/2 ช้อนชา"
ก๋วยเตี๋ยวคั่วไก่ แบบง่าย,"เส้นใหญ่300กรัม
ไข่ไก่2 ฟอง
ซีอิ๊วขาว2 ช้อนโต๊ะ
น้ำตาล2 ช้อนชา
เกลือ 1/2 ช้อนชา1/2 ช้อนชา
ต้นหอม ผักชีซอย1 ช้อนโต๊ะ
น้ำมันพืชหรือน้ำมันหมูเล็กน้อย
--เครื่องปรุงหมักไก่--
อกไก่หั่นชิ้นพอคำ200 กรัม
น้ำตาลทราย1 ช้อนชา
แป้งมัน1 ช้อนโต๊ะ
พริกไทย1/2 ช้อนชา"
ไข่เจียวทรงเครื่องซอสมันกุ้ง,"ไข่ไก่ 5 ฟอง 
น้ำปลา 1 ช้อนโต๊ะ 
ซอสปรุงรส 1 ช้อนโต๊ะ  
เนื้อกุ้งหั่นชิ้น 300 กรัม  
ผงฟู 1/2 ช้อนชา  
มันหัวกุ้ง 3 ช้อนโต๊ะ  
น้ำสต๊อกไก่ 200 มิลลิลิตร  
ซีอิ๊วขาว 2 ช้อนโต๊ะ  
น้ำตาลทราย ½ ช้อนโต๊ะ 
กุ้งลายเสือ 150 กรัม  
ผักสามสี 50 กรัม  
แป้งข้าวโพดผสมน้ำ 2 ช้อนโต๊ะ  
ต้นหอมซอย สำหรับตกแต่ง"
ไข่ดองน้ำปลาแบบง่ายกว่านี้ไม่มีอีกแล้ว,"ไข่แดงสด4 ใบ
น้ำปลา125 ml
น้ำเปล่าสะอาด250 ml
น้ำตาลปี้บ1/3 cup
พริกแดงสดซอยตามชอบ
ต้นหอมสดซอยตามชอบ "
เทนชินฮัง,"วัตถุดิบน้ำราด เนยจืด 15 กรัม  
โชยุ 2 ช้อนโต๊ะ  
น้ำสต๊อกไก่ 200 มิลลิลิตร  
น้ำตาลทราย ½ ช้อนโต๊ะ  
เกลือ ½ ช้อนชา 
พริกไทย ½ ช้อนชา  
น้ำส้มสายชูข้าว ½ ช้อนโต๊ะ  
น้ำมันงา 1 ช้อนชา  
แป้งมันละลายน้ำ 1 ช้อนโต๊ะ วัตถุดิบข้าวหน้าไข่
ปูอัด 80 กรัม  
ไข่ไก่ 4 ฟอง  
มายองเนส 2 ช้อนชา  
ซุปดาชิ 1 ช้อนโต๊ะ  
เกลือ ½ ช้อนชา 
พริกไทย ½ ช้อนชา 
น้ำมันพืช 1 ช้อนโต๊ะ  
ข้าวญี่ปุ่นหุงสุก 1 ถ้วยตวง  
ถั่วลันเตาลวก สำหรับโรยหน้า"
แตงกวาผัดไข่,"น้ำมัน1 ช้อนโต๊ะ
กระเทียมสับ15 กลีบ
แตงกวา500 กรัม
น้ำสะอาด1/2 ถ้วยเล็ก
น้ำตาลทราย3 ช้อนชา
ผงปรุงรส1 ช้อนชา
น้ำปลา1/2 ช้อนโต๊ะ
ซีอิ้วปรุงรส1 ช้อนโต๊ะ
น้ำมันหอย3-4 ช้อนโต๊ะ
พริกไทยป่น1/2 ช้อนชา
ไข่3 ฟอง"
ดอกมะลิผัดไข่,"ดอกมะลิตูม (แนะนำใช้แบบปลูกเอง ไม่ใช้ยาฆ่าแมลง) 200 กรัม 
ไข่ไก่ 3 ฟอง  
กระเทียม 1 หัว 
ซีอิ๊วขาว 1 ช้อนโต๊ะ 
ซอยหอยนางรม 1 1/2 ช้อนโต๊ะ
พริกไทยขาวป่น 1 ช้อนชา  
ผักชี สำหรับตกแต่ง"
